Name,Url,Authority,Started On,Finished On,License Number
Microsoft Certified: Power BI Data Analyst Associate,https://www.credly.com/badges/b10769d5-8376-4b61-a018-aafc5e713cbf/linked_in_profile,Microsoft,Oct 2022,Oct 2024,
Microsoft Certified: Power Platform Fundamentals,https://www.credly.com/badges/52e50f9d-aa92-49e0-b2f4-728524f3f7a6/linked_in_profile,Microsoft,Oct 2022,,
Microsoft Certified: Power Platform App Maker Associate,https://www.credly.com/badges/ef68fa5e-dfbe-4a04-b493-b476bca38f6b/linked_in_profile,Microsoft,Oct 2022,Oct 2023,
